       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        405 27 May 2025 08:38:07      5.219    11.7212  31.310276     3.3789 2.0127e+01    258.624     90.263      5.171    26.8655    20.3291    1486.23 0.0000e+00
        406 27 May 2025 08:38:07      5.360    11.7126  31.320669     3.3732 1.9246e+01    258.431     90.172      5.311    26.8815    20.3430    1486.22 0.0000e+00
        407 27 May 2025 08:38:07      5.501    11.7053  31.329790     3.0757 1.8279e+01    258.216     90.072      5.451    26.8954    20.3550    1486.21 0.0000e+00
        408 27 May 2025 08:38:08      5.641    11.6993  31.337805     3.0699 1.7316e+01    258.061     89.994      5.590    26.9073    20.3653    1486.21 0.0000e+00
        409 27 May 2025 08:38:08      5.779    11.6942  31.345919     3.3160 1.6561e+01    257.591     89.816      5.727    26.9186    20.3749    1486.21 0.0000e+00
        410 27 May 2025 08:38:08      5.917    11.6895  31.354746     3.3312 1.5989e+01    257.302     89.702      5.863    26.9303    20.3848    1486.21 0.0000e+00
        411 27 May 2025 08:38:08      6.054    11.6845  31.363522     3.1100 1.5474e+01    257.075     89.610      5.999    26.9422    20.3949    1486.21 0.0000e+00
        412 27 May 2025 08:38:08      6.193    11.6789  31.371645     3.1024 1.4774e+01    256.689     89.456      6.137    26.9539    20.4049    1486.20 0.0000e+00
        413 27 May 2025 08:38:10      6.334    11.6732  31.379082     3.1577 1.3952e+01    256.205     89.265      6.276    26.9651    20.4145    1486.20 0.0000e+00
        414 27 May 2025 08:38:10      6.474    11.6680  31.385464     3.1615 1.3193e+01    255.757     89.087      6.415    26.9749    20.4230    1486.19 0.0000e+00
        415 27 May 2025 08:38:10      6.614    11.6630  31.390760     3.1348 1.2591e+01    255.169     88.864      6.553    26.9835    20.4306    1486.19 0.0000e+00
        416 27 May 2025 08:38:10      6.751    11.6576  31.395948     3.1481 1.2019e+01    254.706     88.695      6.690    26.9923    20.4383    1486.18 0.0000e+00
        417 27 May 2025 08:38:10      6.888    11.6515  31.401636     3.4133 1.1644e+01    254.161     88.499      6.825    27.0021    20.4469    1486.18 0.0000e+00
        418 27 May 2025 08:38:11      7.024    11.6450  31.407526     3.4171 1.1298e+01    253.685     88.328      6.960    27.0124    20.4560    1486.17 0.0000e+00
        419 27 May 2025 08:38:11      7.162    11.6380  31.413372     3.2626 1.0853e+01    252.955     88.059      7.096    27.0230    20.4654    1486.16 0.0000e+00
        420 27 May 2025 08:38:11      7.301    11.6304  31.418249     3.2588 1.0284e+01    252.735     87.954      7.234    27.0331    20.4746    1486.14 0.0000e+00
        421 27 May 2025 08:38:11      7.441    11.6221  31.420538     3.1691 9.7520e+00    252.233     87.744      7.373    27.0412    20.4823    1486.13 0.0000e+00
        422 27 May 2025 08:38:11      7.580    11.6130  31.419901     3.1748 9.2783e+00    251.783     87.553      7.511    27.0472    20.4885    1486.10 0.0000e+00
        423 27 May 2025 08:38:11      7.718    11.6028  31.417135     3.0318 8.9207e+00    251.620     87.451      7.647    27.0519    20.4939    1486.08 0.0000e+00
        424 27 May 2025 08:38:12      7.854    11.5918  31.413145     3.0394 8.6596e+00    250.982     87.180      7.782    27.0561    20.4990    1486.05 0.0000e+00
        425 27 May 2025 08:38:12      7.990    11.5805  31.408813     3.2225 8.3934e+00    250.235     86.867      7.917    27.0602    20.5042    1486.01 0.0000e+00
        426 27 May 2025 08:38:12      8.126    11.5695  31.404444     3.2206 8.0663e+00    249.315     86.492      8.052    27.0640    20.5090    1485.98 0.0000e+00
        427 27 May 2025 08:38:12      8.264    11.5595  31.399517     3.1844 7.6963e+00    248.422     86.118      8.189    27.0665    20.5126    1485.95 0.0000e+00
        428 27 May 2025 08:38:12      8.403    11.5505  31.393478     3.1977 7.3001e+00    247.011     85.561      8.326    27.0673    20.5148    1485.92 0.0000e+00
        429 27 May 2025 08:38:14      8.541    11.5418  31.386492     3.3160 6.9365e+00    245.224     84.873      8.464    27.0669    20.5160    1485.89 0.0000e+00
        430 27 May 2025 08:38:14      8.679    11.5327  31.379351     3.3293 6.7129e+00    243.428     84.189      8.600    27.0667    20.5174    1485.86 0.0000e+00
        431 27 May 2025 08:38:14      8.814    11.5230  31.372921     3.3160 6.5122e+00    241.460     83.460      8.734    27.0676    20.5197    1485.83 0.0000e+00
        432 27 May 2025 08:38:14      8.949    11.5132  31.367785     3.2321 6.2680e+00    239.238     82.648      8.867    27.0698    20.5231    1485.80 0.0000e+00
        433 27 May 2025 08:38:14      9.084    11.5037  31.364088     3.2054 6.0251e+00    237.073     81.860      9.001    27.0731    20.5273    1485.77 0.0000e+00
        434 27 May 2025 08:38:15      9.220    11.4950  31.361021     3.4533 5.7802e+00    234.669     80.992      9.136    27.0765    20.5314    1485.75 0.0000e+00
        435 27 May 2025 08:38:15      9.357    11.4868  31.356899     3.4476 5.5441e+00    232.118     80.079      9.271    27.0786    20.5344    1485.73 0.0000e+00
        436 27 May 2025 08:38:15      9.493    11.4780  31.350372     3.4171 5.2990e+00    229.942     79.297      9.407    27.0787    20.5360    1485.70 0.0000e+00
        437 27 May 2025 08:38:15      9.629    11.4672  31.341221     3.4152 5.0737e+00    227.921     78.566      9.541    27.0778    20.5371    1485.66 0.0000e+00
        438 27 May 2025 08:38:15      9.763    11.4532  31.330421     3.7032 4.9198e+00    226.070     77.879      9.674    27.0777    20.5394    1485.61 0.0000e+00
        439 27 May 2025 08:38:16      9.897    11.4358  31.318401     3.7051 4.7748e+00    224.834     77.381      9.807    27.0789    20.5433    1485.55 0.0000e+00
        440 27 May 2025 08:38:16     10.031    11.4157  31.304005     3.8233 4.6240e+00    223.724     76.906      9.940    27.0798    20.5474    1485.49 0.0000e+00
        441 27 May 2025 08:38:16     10.166    11.3929  31.287062     3.8233 4.4341e+00    223.268     76.664     10.073    27.0802    20.5515    1485.41 0.0000e+00
        442 27 May 2025 08:38:16     10.301    11.3674  31.268547     3.8996 4.2169e+00    223.169     76.557     10.207    27.0811    20.5566    1485.32 0.0000e+00
        443 27 May 2025 08:38:16     10.436    11.3395  31.248384     3.8901 4.0694e+00    223.267     76.525     10.341    27.0822    20.5621    1485.22 0.0000e+00
        444 27 May 2025 08:38:16     10.570    11.3096  31.226620     4.2048 3.9117e+00    223.831     76.656     10.473    27.0832    20.5679    1485.12 0.0000e+00
        445 27 May 2025 08:38:17     10.703    11.2779  31.203859     4.1915 3.7873e+00    224.934     76.983     10.605    27.0846    20.5743    1485.01 0.0000e+00
        446 27 May 2025 08:38:17     10.835    11.2449  31.181011     4.1857 3.6246e+00    225.221     77.044     10.736    27.0868    20.5815    1484.90 0.0000e+00
        447 27 May 2025 08:38:17     10.968    11.2117  31.159506     4.1686 3.4933e+00    225.737     77.203     10.868    27.0904    20.5899    1484.79 0.0000e+00
        448 27 May 2025 08:38:17     11.102    11.1796  31.139795     4.7007 3.3586e+00    226.016     77.318     11.000    27.0950    20.5988    1484.68 0.0000e+00
        449 27 May 2025 08:38:17     11.235    11.1499  31.121075     4.6836 3.1990e+00    226.423     77.489     11.133    27.0988    20.6067    1484.58 0.0000e+00
        450 27 May 2025 08:38:19     11.368    11.1226  31.102833     4.5691 3.0966e+00    227.072     77.752     11.265    27.1013    20.6132    1484.49 0.0000e+00
        451 27 May 2025 08:38:19     11.500    11.0970  31.085180     4.5672 2.9857e+00    227.911     78.078     11.395    27.1031    20.6188    1484.40 0.0000e+00
        452 27 May 2025 08:38:19     11.631    11.0725  31.067823     4.7618 2.8819e+00    229.172     78.531     11.525    27.1043    20.6238    1484.32 0.0000e+00
        453 27 May 2025 08:38:19     11.761    11.0483  31.049772     4.7580 2.7884e+00    230.674     79.053     11.654    27.1046    20.6281    1484.24 0.0000e+00
        454 27 May 2025 08:38:19     11.892    11.0236  31.029579     4.7332 2.6733e+00    232.270     79.599     11.784    27.1033    20.6311    1484.15 0.0000e+00
        455 27 May 2025 08:38:20     12.024    10.9967  31.005613     4.5825 2.5136e+00    234.441     80.331     11.915    27.1000    20.6330    1484.05 0.0000e+00
        456 27 May 2025 08:38:20     12.157    10.9657  30.977352     4.5806 2.4031e+00    236.424     80.993     12.046    27.0954    20.6345    1483.93 0.0000e+00
        457 27 May 2025 08:38:20     12.291    10.9292  30.946939     4.9830 2.3190e+00    238.330     81.626     12.178    27.0929    20.6385    1483.80 0.0000e+00
        458 27 May 2025 08:38:20     12.423    10.8879  30.917883     4.9697 2.2262e+00    239.939     82.166     12.310    27.0952    20.6471    1483.66 0.0000e+00
        459 27 May 2025 08:38:20     12.555    10.8448  30.891890     4.6092 2.1526e+00    241.211     82.598     12.441    27.1018    20.6593    1483.51 0.0000e+00
        460 27 May 2025 08:38:20     12.687    10.8031  30.869165     4.5977 2.0796e+00    242.229     82.958     12.571    27.1106    20.6729    1483.38 0.0000e+00
        461 27 May 2025 08:38:21     12.819    10.7643  30.850784     5.0784 2.0056e+00    243.093     83.272     12.702    27.1214    20.6876    1483.25 0.0000e+00
        462 27 May 2025 08:38:21     12.952    10.7294  30.838228     5.0689 1.9036e+00    243.630     83.475     12.834    27.1349    20.7038    1483.15 0.0000e+00
        463 27 May 2025 08:38:21     13.087    10.7001  30.832380     4.5138 1.8178e+00    244.146     83.663     12.967    27.1509    20.7209    1483.06 0.0000e+00
        464 27 May 2025 08:38:21     13.222    10.6779  30.834082     4.5291 1.7386e+00    244.635     83.835     13.102    27.1691    20.7386    1483.00 0.0000e+00
        465 27 May 2025 08:38:21     13.358    10.6637  30.844334     4.2754 1.6517e+00    245.166     84.015     13.236    27.1895    20.7568    1482.98 0.0000e+00
        466 27 May 2025 08:38:23     13.493    10.6583  30.861229     4.2525 1.5995e+00    245.708     84.193     13.370    27.2099    20.7735    1482.99 0.0000e+00
